params_id,minRecentCount,diffThresholdDays,maxRecentStd,alpha,frequencyDiffThreshold,frequencyRecentWindowDays,change_type_accuracy,interval_change_precision,interval_change_recall,interval_change_f1,frequency_change_precision,frequency_change_recall,frequency_change_f1,overall_change_precision,overall_change_recall,overall_change_f1,cycle_mae,daily_frequency_mae,score
params_7186,5,1.0,2.0,0.9,0.3,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_7190,5,1.0,2.0,0.9,0.5,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_7194,5,1.0,2.0,0.9,0.7,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_0387,2,0.5,2.0,0.9,0.3,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_0388,2,0.5,2.0,0.9,0.3,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_0391,2,0.5,2.0,0.9,0.5,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_0392,2,0.5,2.0,0.9,0.5,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_0395,2,0.5,2.0,0.9,0.7,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_0396,2,0.5,2.0,0.9,0.7,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_0787,2,0.75,2.0,0.9,0.3,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_0788,2,0.75,2.0,0.9,0.3,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
